tau [s],AS [V],ASD [V/√Hz],PSD [dB/Hz]
-2.951388888888889e-07,0.16364957565289273,0.2341962084152721,-27.631893818044464
-2.9459635416666666e-07,0.2060721880854,0.29490650933188906,-26.630848828319927
-2.9405381944444443e-07,0.09218869707715767,0.13192972378986287,-30.12426588273019
-2.935112847222222e-07,0.19351435010045376,0.27693519452563703,-26.90391089559631
-2.9296875e-07,0.06510041038351179,0.09316412350762593,-31.635205390083417
-2.924262152777778e-07,0.13682023076533614,0.1958011754806398,-28.40953946730384
-2.9188368055555557e-07,0.09383274471930202,0.134282493252956,-30.047498451730668
-2.9134114583333334e-07,0.15587757923112525,0.2230738325304995,-27.84320612706978
-2.907986111111111e-07,0.013501056714707258,0.019321139572585865,-38.467365036781736
-2.902560763888889e-07,0.12084074391843473,0.1729331954260892,-28.948908751060664
-2.8971354166666665e-07,0.040408158090728105,0.05782744853531274,-33.70635210696121
-2.891710069444444e-07,0.10192897551041863,0.1458688755956527,-29.68806606180437
-2.8862847222222224e-07,0.050573377213280715,0.07237472595240613,-32.731823091878766
-2.880859375e-07,0.024120227689413232,0.03451805999763243,-35.947228621866735
-2.875434027777778e-07,0.03473401302925237,0.04970727312945389,-34.36349302453475
-2.8700086805555556e-07,0.08271520992051211,0.11837237257947524,-30.595188890485904
-2.864583333333333e-07,0.01585967371019223,0.02269651745085192,-37.76810017220593
-2.859157986111111e-07,0.07255890716357799,0.10383785522614837,-31.16413532282198
-2.8537326388888887e-07,0.08988717867008392,0.12863605875966513,-30.23406516072074
-2.848307291666667e-07,0.09396735926772226,0.13447513791281399,-30.04127243115515
-2.8428819444444446e-07,0.00672244720815383,0.009620383316854811,-41.49576864950451
-2.8374565972222223e-07,0.01856040694155609,0.02656149223128217,-37.085167713121905
-2.83203125e-07,0.058481296703710745,0.08369161909877222,-32.10087271661709
-2.8266059027777777e-07,0.05311801800055457,0.07601631941075039,-32.5186240353801
-2.8211805555555554e-07,0.0866860380234597,0.12405495918117594,-30.391551112943894
-2.815755208333333e-07,0.08917115020714951,0.12761136223681968,-30.268798967279427
-2.8103298611111114e-07,0.08274887605959579,0.11842055163581512,-30.59342161651268
-2.804904513888889e-07,0.051415849764441635,0.07358037452429315,-32.66007247405513
-2.799479166666667e-07,0.06591196758398471,0.09432552963107353,-31.581399890540624
-2.7940538194444445e-07,0.057965945393379625,0.08295410833896809,-32.13931341946624
-2.788628472222222e-07,0.039926279202777915,0.05713783960707042,-33.75845425868707
-2.783203125e-07,0.09259449440153465,0.13251045364739533,-30.10519100685528
