 (-8.002254537621372699e-05+8.040710178254841781e-05j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-7.979517648419580552e-05-8.006838219920175070e-05j), (2.374569521236565006e-01+0.000000000000000000e+00j)
 (-7.948869234165629061e-05+7.967631126199571168e-05j), (2.340775863171866977e-01+0.000000000000000000e+00j)
 (-7.943755001518978400e-05-8.009619798960217099e-05j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-7.902733916602659064e-05-8.053682325838593082e-05j), (2.415121910914443948e-01+0.000000000000000000e+00j)
 (-7.872765569000579719e-05+8.279911535314990185e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-7.852257703536972731e-05-7.894899257791046520e-05j), (2.391466350269046970e-01+0.000000000000000000e+00j)
 (-7.850816687125876912e-05+7.966164357283035810e-05j), (2.415121910914438119e-01+0.000000000000000000e+00j)
 (-7.819639894109156858e-05-7.848421241630426182e-05j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-7.812012733266356882e-05+8.478247891850385597e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-7.718797489074895714e-05+7.822332076357723892e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-7.690495941973200930e-05+7.776874573561536779e-05j), (2.425260008333892103e-01+0.000000000000000000e+00j)
 (-7.683534208238690453e-05-7.809318060940011544e-05j), (2.421880642527390881e-01+0.000000000000000000e+00j)
 (-7.651303327533106246e-05+7.790232429587761430e-05j), (2.411742545107949109e-01+0.000000000000000000e+00j)
 (-7.650142214416824594e-05-7.779892510528864141e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-7.643155518554137998e-05-7.760080459601755400e-05j), (2.418501276720909088e-01+0.000000000000000000e+00j)
 (-7.628203838327081757e-05+7.660552968202227211e-05j), (2.334017131558847047e-01+0.000000000000000000e+00j)
 (-7.569913196734183415e-05-7.667057313134301275e-05j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-7.469095002696688986e-05+7.700322270413385590e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-7.415857686264169715e-05-7.561131501383960352e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-7.412233443720101574e-05+7.459215743764616516e-05j), (2.391466350269053076e-01+0.000000000000000000e+00j)
 (-7.329479616462769467e-05+7.365278546005274473e-05j), (2.357672692204225984e-01+0.000000000000000000e+00j)
 (-7.317483296870405001e-05+7.477878653052848646e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-7.228978305633025289e-05-7.480831591559799533e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-7.223938665976826047e-05-7.294907573118291700e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-7.222782045560623002e-05+7.281247074003321018e-05j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-7.167443807341497813e-05+7.522376164143910755e-05j), (2.418501276720909088e-01+0.000000000000000000e+00j)
 (-7.165604627209995481e-05+7.220126291648026255e-05j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-7.158179677412479167e-05+7.310707270137251329e-05j), (2.415121910914425907e-01+0.000000000000000000e+00j)
 (-7.131884441708266815e-05+7.496256836832034952e-05j), (2.415121910914438119e-01+0.000000000000000000e+00j)
 (-7.031574942664612726e-05-7.463732870939490552e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-7.003082269978639371e-05-7.057016851314302521e-05j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-6.996919125839092717e-05-7.092804608904474013e-05j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-6.990247814331490854e-05+7.331492417650273740e-05j), (2.418501276720909088e-01+0.000000000000000000e+00j)
 (-6.984580409134710159e-05+7.026073482831522948e-05j), (2.364431423817190958e-01+0.000000000000000000e+00j)
 (-6.982053365886539491e-05+7.050077498021036870e-05j), (2.408363179301472867e-01+0.000000000000000000e+00j)
 (-6.972330934802357970e-05+7.064422067961180138e-05j), (2.428639374140350027e-01+0.000000000000000000e+00j)
 (-6.939739386921291988e-05-6.992393897099272973e-05j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-6.906392951515799876e-05+6.986696674910940696e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-6.787751262808868760e-05-6.824830883809371762e-05j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-6.741473183567830963e-05-6.821286373201079008e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-6.732789102601882431e-05-6.800745919041986090e-05j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-6.493681751636583115e-05-7.305655972048686426e-05j), (2.411742545107949109e-01+0.000000000000000000e+00j)
 (-6.442580783268718545e-05-6.470780192308787308e-05j), (2.344155228978294925e-01+0.000000000000000000e+00j)
 (-6.427712904545931731e-05-6.636191498388588263e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-6.427471606079179875e-05-6.534068659353467956e-05j), (2.432018739946844865e-01+0.000000000000000000e+00j)
 (-6.420631094442339577e-05-6.460630114577742072e-05j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-6.388791673800464752e-05-6.497233641926207764e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-6.387388552063142082e-05-6.544330245195916526e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-6.344601119566238697e-05+6.408801247250581657e-05j), (2.408363179301460932e-01+0.000000000000000000e+00j)
 (-6.329257236962228239e-05+6.371853501307166211e-05j), (2.357672692204237919e-01+0.000000000000000000e+00j)
 (-6.317146665390953374e-05-6.358937071418274396e-05j), (2.377948887043110082e-01+0.000000000000000000e+00j)
 (-6.314313469834777366e-05+6.339746109783653792e-05j), (2.344155228978319905e-01+0.000000000000000000e+00j)
 (-6.291500527089730153e-05-6.324024868606322207e-05j), (2.374569521236639114e-01+0.000000000000000000e+00j)
 (-6.280613592682529134e-05-6.359046675151632227e-05j), (2.411742545107949109e-01+0.000000000000000000e+00j)
 (-6.278885782613420521e-05-6.320349631611247361e-05j), (2.377948887043078996e-01+0.000000000000000000e+00j)
